"Product ID","Product Name","Line Item Quantity","Product SKU","Product Categories"
8031,"กล้วยน้ำว้า (650 กรัม)",5,FT0230,ผลไม้
7990,"ทุเรียนหมอนทองลูก (10000 กรัม)",2,FT0480,ผลไม้
7562,"ทุเรียนแกะหมอนทอง (ลังเล็ก) (6000 กรัม)",1,FT0011,ผลไม้
6769,"มะม่วงน้ำดอกไม้ (1000 กรัม)",6,FT0090,ผลไม้
7002,"กระชายหัว (200 กรัม)",5,VB0382,ผัก
6873,"ข่า (100 กรัม)",10,VB0401,ผัก
6951,"ชะพลู (100 กรัม)",5,VB1281,ผัก
7005,"ชะอม(กำใหญ่) (200 กรัม)",5,VB0412,ผัก
6888,"ถั่วพู (100 กรัม)",5,VB0551,ผัก
6992,"ผักกระเฉด (200 กรัม)",5,VB0282,ผัก
6868,"ผักชีฝรั่ง (100 กรัม)",10,VB0351,ผัก
8516,"ฝรั่งกิมจู (1000 กรัม)",2,FT0190,ผัก
6864,"พริกขี้หนูสวน (100 กรัม)",10,VB0311,ผัก
6863,"พริกไทยอ่อน (100 กรัม)",5,VB0301,ผัก
6859,"มะเขือพวง (100 กรัม)",5,VB0261,ผัก
6983,"มะเขือเปราะ (200 กรัม)",5,VB0172,ผัก
6911,"มะเขือไข่เต่า (100 กรัม)",5,VB0831,ผัก
6862,"รากผักชี (100 กรัม)",5,VB0291,ผัก
6860,"เม็ดกระถิน (100 กรัม)",5,VB0271,ผัก
7039,"ใบตอง (200 กรัม)",5,VB0762,ผัก
6843,"ใบแมงลัก (100 กรัม)",10,VB0071,ผัก
6844,"ใบโหระพา (100 กรัม)",20,VB0081,ผัก
7555,"อาม่าลูกชิ้นปลาระเบิด (1000 กรัม)",4,MSF0530,ลูกชิ้นไส้กรอก
7651,"ลูกชิ้นปลาระเบิด ตี๋น้อย (1000 กรัม)",2,MSF0560,ลูกชิ้นไส้กรอก
7910,"กุนเชียงเชือกแดง (450 กรัม)",5,IF0920,วัตถุดิบ
8053,"CP เลือดหมูก้อน (400 กรัม)",10,IF0540,วัตถุดิบ
7796,"ปลาทูนึ่งแม่กลอง (300 กรัม)",10,IF0100,วัตถุดิบ
8027,"ปลาทูหอม (500 กรัม)",10,IF0640,วัตถุดิบ
8054,"จ้อปู ตี๋ใหญ่ (500 กรัม)",2,IF0070,วัตถุดิบ
7794,"เลือดไก่ (350 กรัม)",6,IF0580,วัตถุดิบ
